date,year,season,index,mean
2024-02-15,2024,Verano 2024,NDVI,0.0587
2024-05-15,2024,Otoño 2024,NDVI,0.047
2024-08-15,2024,Invierno 2024,NDVI,0.0368
2024-11-15,2024,Primavera 2024,NDVI,0.0541
2025-02-15,2025,Verano 2025,NDVI,0.0575
2025-05-15,2025,Otoño 2025,NDVI,0.0491
2025-08-15,2025,Invierno 2025,NDVI,0.037
2025-11-15,2025,Primavera 2025,NDVI,0.052
2024-02-15,2024,Verano 2024,NDWI,-0.1471
2024-05-15,2024,Otoño 2024,NDWI,-0.1243
2024-08-15,2024,Invierno 2024,NDWI,-0.118
2024-11-15,2024,Primavera 2024,NDWI,-0.1368
2025-02-15,2025,Verano 2025,NDWI,-0.141
2025-05-15,2025,Otoño 2025,NDWI,-0.1315
2025-08-15,2025,Invierno 2025,NDWI,-0.1129
2025-11-15,2025,Primavera 2025,NDWI,-0.1347
 
