date,year,season,index,mean
2024-02-15,2024,Verano 2024,NDVI,0.079
2024-05-15,2024,Otoño 2024,NDVI,0.0826
2024-08-15,2024,Invierno 2024,NDVI,0.0844
2024-11-15,2024,Primavera 2024,NDVI,0.0832
2025-02-15,2025,Verano 2025,NDVI,0.0821
2025-05-15,2025,Otoño 2025,NDVI,0.085
2025-08-15,2025,Invierno 2025,NDVI,0.0832
2025-11-15,2025,Primavera 2025,NDVI,0.0804
2024-02-15,2024,Verano 2024,NDWI,-0.2515
2024-05-15,2024,Otoño 2024,NDWI,-0.2531
2024-08-15,2024,Invierno 2024,NDWI,-0.2552
2024-11-15,2024,Primavera 2024,NDWI,-0.2514
2025-02-15,2025,Verano 2025,NDWI,-0.2538
2025-05-15,2025,Otoño 2025,NDWI,-0.2575
2025-08-15,2025,Invierno 2025,NDWI,-0.2544
2025-11-15,2025,Primavera 2025,NDWI,-0.2473
