source,wetland_id,wetland_name,index,date,year,season,period_key,mean
sentinel2,sapunta,Sapunta,NDVI,2017-02-15,2017,Verano,2017_verano,0.3023
sentinel2,sapunta,Sapunta,NDVI,2017-05-15,2017,Otoño,2017_otono,0.2647
sentinel2,sapunta,Sapunta,NDVI,2017-08-15,2017,Invierno,2017_invierno,0.1714
sentinel2,sapunta,Sapunta,NDVI,2018-02-15,2018,Verano,2018_verano,0.2756
sentinel2,sapunta,Sapunta,NDVI,2018-08-15,2018,Invierno,2018_invierno,0.1675
sentinel2,sapunta,Sapunta,NDVI,2018-11-15,2018,Primavera,2018_primavera,0.2154
sentinel2,sapunta,Sapunta,NDVI,2019-02-15,2019,Verano,2019_verano,0.1994
sentinel2,sapunta,Sapunta,NDVI,2019-05-15,2019,Otoño,2019_otono,0.194
sentinel2,sapunta,Sapunta,NDVI,2019-08-15,2019,Invierno,2019_invierno,0.1625
sentinel2,sapunta,Sapunta,NDVI,2019-11-15,2019,Primavera,2019_primavera,0.2112
sentinel2,sapunta,Sapunta,NDVI,2020-02-15,2020,Verano,2020_verano,0.2791
sentinel2,sapunta,Sapunta,NDVI,2020-05-15,2020,Otoño,2020_otono,0.2704
sentinel2,sapunta,Sapunta,NDVI,2020-08-15,2020,Invierno,2020_invierno,0.1947
sentinel2,sapunta,Sapunta,NDVI,2020-11-15,2020,Primavera,2020_primavera,0.2261
sentinel2,sapunta,Sapunta,NDVI,2021-02-15,2021,Verano,2021_verano,0.32
sentinel2,sapunta,Sapunta,NDVI,2021-05-15,2021,Otoño,2021_otono,0.2628
sentinel2,sapunta,Sapunta,NDVI,2021-08-15,2021,Invierno,2021_invierno,0.1957
sentinel2,sapunta,Sapunta,NDVI,2021-11-15,2021,Primavera,2021_primavera,0.2163
sentinel2,sapunta,Sapunta,NDVI,2022-02-15,2022,Verano,2022_verano,0.3196
sentinel2,sapunta,Sapunta,NDVI,2022-05-15,2022,Otoño,2022_otono,0.2447
sentinel2,sapunta,Sapunta,NDVI,2022-08-15,2022,Invierno,2022_invierno,0.1875
sentinel2,sapunta,Sapunta,NDVI,2022-11-15,2022,Primavera,2022_primavera,0.2074
sentinel2,sapunta,Sapunta,NDVI,2023-02-15,2023,Verano,2023_verano,0.2865
sentinel2,sapunta,Sapunta,NDVI,2023-05-15,2023,Otoño,2023_otono,0.2337
sentinel2,sapunta,Sapunta,NDVI,2023-08-15,2023,Invierno,2023_invierno,0.1847
sentinel2,sapunta,Sapunta,NDVI,2023-11-15,2023,Primavera,2023_primavera,0.1729
sentinel2,sapunta,Sapunta,NDVI,2024-02-15,2024,Verano,2024_verano,0.2016
sentinel2,sapunta,Sapunta,NDVI,2024-05-15,2024,Otoño,2024_otono,0.1866
sentinel2,sapunta,Sapunta,NDVI,2024-08-15,2024,Invierno,2024_invierno,0.1672
sentinel2,sapunta,Sapunta,NDVI,2024-11-15,2024,Primavera,2024_primavera,0.1809
sentinel2,sapunta,Sapunta,NDVI,2025-02-15,2025,Verano,2025_verano,0.2239
sentinel2,sapunta,Sapunta,NDVI,2025-05-15,2025,Otoño,2025_otono,0.2447
sentinel2,sapunta,Sapunta,NDVI,2025-08-15,2025,Invierno,2025_invierno,0.1972
sentinel2,sapunta,Sapunta,NDVI,2025-11-15,2025,Primavera,2025_primavera,0.2435
sentinel2,sapunta,Sapunta,NDVI,2026-02-15,2026,Verano,2026_verano,0.3401
sentinel2,sapunta,Sapunta,NDWI,2017-02-15,2017,Verano,2017_verano,-0.4284
sentinel2,sapunta,Sapunta,NDWI,2017-05-15,2017,Otoño,2017_otono,-0.3972
sentinel2,sapunta,Sapunta,NDWI,2017-08-15,2017,Invierno,2017_invierno,-0.3406
sentinel2,sapunta,Sapunta,NDWI,2018-02-15,2018,Verano,2018_verano,-0.4027
sentinel2,sapunta,Sapunta,NDWI,2018-08-15,2018,Invierno,2018_invierno,-0.3353
sentinel2,sapunta,Sapunta,NDWI,2018-11-15,2018,Primavera,2018_primavera,-0.3647
sentinel2,sapunta,Sapunta,NDWI,2019-02-15,2019,Verano,2019_verano,-0.3511
sentinel2,sapunta,Sapunta,NDWI,2019-05-15,2019,Otoño,2019_otono,-0.3557
sentinel2,sapunta,Sapunta,NDWI,2019-08-15,2019,Invierno,2019_invierno,-0.3342
sentinel2,sapunta,Sapunta,NDWI,2019-11-15,2019,Primavera,2019_primavera,-0.3606
sentinel2,sapunta,Sapunta,NDWI,2020-02-15,2020,Verano,2020_verano,-0.4133
sentinel2,sapunta,Sapunta,NDWI,2020-05-15,2020,Otoño,2020_otono,-0.4163
sentinel2,sapunta,Sapunta,NDWI,2020-08-15,2020,Invierno,2020_invierno,-0.3586
sentinel2,sapunta,Sapunta,NDWI,2020-11-15,2020,Primavera,2020_primavera,-0.3668
sentinel2,sapunta,Sapunta,NDWI,2021-02-15,2021,Verano,2021_verano,-0.4432
sentinel2,sapunta,Sapunta,NDWI,2021-05-15,2021,Otoño,2021_otono,-0.4082
sentinel2,sapunta,Sapunta,NDWI,2021-08-15,2021,Invierno,2021_invierno,-0.3695
sentinel2,sapunta,Sapunta,NDWI,2021-11-15,2021,Primavera,2021_primavera,-0.3623
sentinel2,sapunta,Sapunta,NDWI,2022-02-15,2022,Verano,2022_verano,-0.4288
