source,wetland_id,wetland_name,index,date,year,season,period_key,mean
sentinel2,vegas_calama,Vegas de Calama,NDVI,2017-02-15,2017,Verano,2017_verano,0.2966
sentinel2,vegas_calama,Vegas de Calama,NDVI,2017-05-15,2017,Otoño,2017_otono,0.2594
sentinel2,vegas_calama,Vegas de Calama,NDVI,2017-08-15,2017,Invierno,2017_invierno,0.1902
sentinel2,vegas_calama,Vegas de Calama,NDVI,2017-11-15,2017,Primavera,2017_primavera,0.1875
sentinel2,vegas_calama,Vegas de Calama,NDVI,2018-02-15,2018,Verano,2018_verano,0.2656
sentinel2,vegas_calama,Vegas de Calama,NDVI,2018-05-15,2018,Otoño,2018_otono,0.2278
sentinel2,vegas_calama,Vegas de Calama,NDVI,2018-08-15,2018,Invierno,2018_invierno,0.1792
sentinel2,vegas_calama,Vegas de Calama,NDVI,2018-11-15,2018,Primavera,2018_primavera,0.1893
sentinel2,vegas_calama,Vegas de Calama,NDVI,2019-02-15,2019,Verano,2019_verano,0.2667
sentinel2,vegas_calama,Vegas de Calama,NDVI,2019-05-15,2019,Otoño,2019_otono,0.2469
sentinel2,vegas_calama,Vegas de Calama,NDVI,2019-08-15,2019,Invierno,2019_invierno,0.1852
sentinel2,vegas_calama,Vegas de Calama,NDVI,2019-11-15,2019,Primavera,2019_primavera,0.1964
sentinel2,vegas_calama,Vegas de Calama,NDVI,2020-02-15,2020,Verano,2020_verano,0.274
sentinel2,vegas_calama,Vegas de Calama,NDVI,2020-05-15,2020,Otoño,2020_otono,0.245
sentinel2,vegas_calama,Vegas de Calama,NDVI,2020-08-15,2020,Invierno,2020_invierno,0.1661
sentinel2,vegas_calama,Vegas de Calama,NDVI,2020-11-15,2020,Primavera,2020_primavera,0.1785
sentinel2,vegas_calama,Vegas de Calama,NDVI,2021-02-15,2021,Verano,2021_verano,0.2344
sentinel2,vegas_calama,Vegas de Calama,NDVI,2021-05-15,2021,Otoño,2021_otono,0.2372
sentinel2,vegas_calama,Vegas de Calama,NDVI,2021-08-15,2021,Invierno,2021_invierno,0.1883
sentinel2,vegas_calama,Vegas de Calama,NDVI,2021-11-15,2021,Primavera,2021_primavera,0.1815
sentinel2,vegas_calama,Vegas de Calama,NDVI,2022-02-15,2022,Verano,2022_verano,0.2436
sentinel2,vegas_calama,Vegas de Calama,NDVI,2022-05-15,2022,Otoño,2022_otono,0.2214
sentinel2,vegas_calama,Vegas de Calama,NDVI,2022-08-15,2022,Invierno,2022_invierno,0.1666
sentinel2,vegas_calama,Vegas de Calama,NDVI,2022-11-15,2022,Primavera,2022_primavera,0.1657
sentinel2,vegas_calama,Vegas de Calama,NDVI,2023-02-15,2023,Verano,2023_verano,0.2562
sentinel2,vegas_calama,Vegas de Calama,NDVI,2023-05-15,2023,Otoño,2023_otono,0.2283
sentinel2,vegas_calama,Vegas de Calama,NDVI,2023-08-15,2023,Invierno,2023_invierno,0.1635
sentinel2,vegas_calama,Vegas de Calama,NDVI,2023-11-15,2023,Primavera,2023_primavera,0.1911
sentinel2,vegas_calama,Vegas de Calama,NDVI,2024-02-15,2024,Verano,2024_verano,0.2467
sentinel2,vegas_calama,Vegas de Calama,NDVI,2024-05-15,2024,Otoño,2024_otono,0.2323
sentinel2,vegas_calama,Vegas de Calama,NDVI,2024-08-15,2024,Invierno,2024_invierno,0.1674
sentinel2,vegas_calama,Vegas de Calama,NDVI,2024-11-15,2024,Primavera,2024_primavera,0.1851
sentinel2,vegas_calama,Vegas de Calama,NDVI,2025-02-15,2025,Verano,2025_verano,0.2396
sentinel2,vegas_calama,Vegas de Calama,NDVI,2025-05-15,2025,Otoño,2025_otono,0.2227
sentinel2,vegas_calama,Vegas de Calama,NDVI,2025-08-15,2025,Invierno,2025_invierno,0.1886
sentinel2,vegas_calama,Vegas de Calama,NDVI,2025-11-15,2025,Primavera,2025_primavera,0.1903
sentinel2,vegas_calama,Vegas de Calama,NDVI,2026-02-15,2026,Verano,2026_verano,0.2606
sentinel2,vegas_calama,Vegas de Calama,NDWI,2017-02-15,2017,Verano,2017_verano,-0.4042
sentinel2,vegas_calama,Vegas de Calama,NDWI,2017-05-15,2017,Otoño,2017_otono,-0.3694
sentinel2,vegas_calama,Vegas de Calama,NDWI,2017-08-15,2017,Invierno,2017_invierno,-0.3163
sentinel2,vegas_calama,Vegas de Calama,NDWI,2017-11-15,2017,Primavera,2017_primavera,-0.2956
sentinel2,vegas_calama,Vegas de Calama,NDWI,2018-02-15,2018,Verano,2018_verano,-0.3604
sentinel2,vegas_calama,Vegas de Calama,NDWI,2018-05-15,2018,Otoño,2018_otono,-0.3435
sentinel2,vegas_calama,Vegas de Calama,NDWI,2018-08-15,2018,Invierno,2018_invierno,-0.3139
sentinel2,vegas_calama,Vegas de Calama,NDWI,2018-11-15,2018,Primavera,2018_primavera,-0.3017
sentinel2,vegas_calama,Vegas de Calama,NDWI,2019-02-15,2019,Verano,2019_verano,-0.3624
sentinel2,vegas_calama,Vegas de Calama,NDWI,2019-05-15,2019,Otoño,2019_otono,-0.3607
sentinel2,vegas_calama,Vegas de Calama,NDWI,2019-08-15,2019,Invierno,2019_invierno,-0.3136
sentinel2,vegas_calama,Vegas de Calama,NDWI,2019-11-15,2019,Primavera,2019_primavera,-0.3021
sentinel2,vegas_calama,Vegas de Calama,NDWI,2020-02-15,2020,Verano,2020_verano,-0.3715
sentinel2,vegas_calama,Vegas de Calama,NDWI,2020-05-15,2020,Otoño,2020_otono,-0.3606
sentinel2,vegas_calama,Vegas de Calama,NDWI,2020-08-15,2020,Invierno,2020_invierno,-0.3006
sentinel2,vegas_calama,Vegas de Calama,NDWI,2020-11-15,2020,Primavera,2020_primavera,-0.2912
sentinel2,vegas_calama,Vegas de Calama,NDWI,2021-02-15,2021,Verano,2021_verano,-0.3333
sentinel2,vegas_calama,Vegas de Calama,NDWI,2021-05-15,2021,Otoño,2021_otono,-0.3493
sentinel2,vegas_calama,Vegas de Calama,NDWI,2021-08-15,2021,Invierno,2021_invierno,-0.3199
sentinel2,vegas_calama,Vegas de Calama,NDWI,2021-11-15,2021,Primavera,2021_primavera,-0.2925
sentinel2,vegas_calama,Vegas de Calama,NDWI,2022-02-15,2022,Verano,2022_verano,-0.3411
sentinel2,vegas_calama,Vegas de Calama,NDWI,2022-05-15,2022,Otoño,2022_otono,-0.3344
sentinel2,vegas_calama,Vegas de Calama,NDWI,2022-08-15,2022,Invierno,2022_invierno,-0.2868
sentinel2,vegas_calama,Vegas de Calama,NDWI,2022-11-15,2022,Primavera,2022_primavera,-0.2802
sentinel2,vegas_calama,Vegas de Calama,NDWI,2023-02-15,2023,Verano,2023_verano,-0.3545
sentinel2,vegas_calama,Vegas de Calama,NDWI,2023-05-15,2023,Otoño,2023_otono,-0.3431
sentinel2,vegas_calama,Vegas de Calama,NDWI,2023-08-15,2023,Invierno,2023_invierno,-0.2859
sentinel2,vegas_calama,Vegas de Calama,NDWI,2023-11-15,2023,Primavera,2023_primavera,-0.3008
sentinel2,vegas_calama,Vegas de Calama,NDWI,2024-02-15,2024,Verano,2024_verano,-0.3448
sentinel2,vegas_calama,Vegas de Calama,NDWI,2024-05-15,2024,Otoño,2024_otono,-0.3397
sentinel2,vegas_calama,Vegas de Calama,NDWI,2024-08-15,2024,Invierno,2024_invierno,-0.2865
sentinel2,vegas_calama,Vegas de Calama,NDWI,2024-11-15,2024,Primavera,2024_primavera,-0.2921
sentinel2,vegas_calama,Vegas de Calama,NDWI,2025-02-15,2025,Verano,2025_verano,-0.3389
sentinel2,vegas_calama,Vegas de Calama,NDWI,2025-05-15,2025,Otoño,2025_otono,-0.3365
sentinel2,vegas_calama,Vegas de Calama,NDWI,2025-08-15,2025,Invierno,2025_invierno,-0.3095
sentinel2,vegas_calama,Vegas de Calama,NDWI,2025-11-15,2025,Primavera,2025_primavera,-0.2982
